1	Как	как	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#848.04#848.243
2	Вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@yad1986-word#@yad1986#848.243#848.446
3	считаете	считать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986-word#@yad1986#848.446#848.65
4	людям	человек	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	@yad1986-word#@yad1986#849.005#849.282
5	которые	который	PRON	_	Case=Acc	_	_	_	@yad1986-word#@yad1986#849.282#849.559
6	живут	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986-word#@yad1986#849.559#849.836
7	в	в	ADP	_	_	_	_	_	@yad1986-word#@yad1986#849.836#850.113
8	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#850.113#850.39
9	к	к	ADP	_	_	_	_	_	@yad1986-word#@yad1986#851.31#851.42
10	как	как	SCONJ	_	_	_	_	_	@yad1986-word#@yad1986#851.78#851.94
11	куда	куда	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#852.135#852.388
12	лучше	хорошо	ADJ	_	Degree=Cmp	_	_	_	@yad1986-word#@yad1986#852.388#852.641
13	отправлять	отправлять	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@yad1986-word#@yad1986#852.641#852.894
14	детей	ребенок	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@yad1986-word#@yad1986#852.894#853.147
15	?	?	PUNCT	_	_	_	_	_	@yad1986-word#@yad1986#853.147#853.4
16	Ну	ну	PART	_	_	_	_	_	@yad1986-word#@yad1986#871.385#871.713
17	не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#871.713#872.041
18	все	весь	DET	_	Case=Acc|Number=Plur	_	_	_	@yad1986-word#@yad1986#872.041#872.369
19	принципы	принцип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@yad1986-word#@yad1986#872.369#872.697
20	жизни	жизнь	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#872.697#873.025
21	богатых	богатый	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@yad1986-word#@yad1986#873.025#873.353
22	людей	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@yad1986-word#@yad1986#873.353#873.681
23	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@yad1986-word#@yad1986#873.681#874.009
24	близки	близкий	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	_	_	_	@yad1986-word#@yad1986#874.009#874.345
25	Не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#874.91#875.152
26	не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#875.152#875.394
27	не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#875.394#875.636
28	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@yad1986-word#@yad1986#875.636#875.878
29	серьезно	серьезно	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#875.878#876.12
30	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986-word#@yad1986#876.12#876.362
31	нуу	ну	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#876.362#876.604
32	грубо	грубо	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#876.604#876.846
33	говоря	говорить	VERB	_	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	_	_	_	@yad1986-word#@yad1986#876.846#877.088
34	жить	жить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@yad1986-word#@yad1986#877.088#877.33
35	и	и	CCONJ	_	_	_	_	_	@yad1986-word#@yad1986#877.33#877.572
36	делать	делать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@yad1986-word#@yad1986#877.572#877.814
37	бизнес	бизнес	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@yad1986-word#@yad1986#877.814#878.056
38	в	в	ADP	_	_	_	_	_	@yad1986-word#@yad1986#878.056#878.298
39	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#878.298#878.54
40	эээ	эээ	NOUN	_	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#878.8#879.58
41	вся	весь	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#879.695#879.953
42	твоя	твой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#879.953#880.211
